LDA1,LDA2,LDA3,LDA4,LDA5,LDA6,LDA7,LDA8,JST1,JST2,JST3,JST4,JST5,JST6,JST7,JST8,VODUM1,VODUM2,VODUM3,VODUM4,VODUM5,VODUM6,VODUM7,VODUM8,LAM1,LAM2,LAM3,LAM4,LAM5,LAM6,LAM7,LAM8,TFIDF1,TFIDF2,TFIDF3,TFIDF4,TFIDF5,TFIDF6,TFIDF7,TFIDF8,Q17_1,Q17_2,Q17_3,feedback,age,gender,stance,topic_knowledge,RecordedDate,TAM1,TAM2,TAM3,TAM4,TAM5,TAM6,TAM7,TAM8,model,honeypot_all,honeypot_one
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Strongly agree,Somewhat agree,,29,Male,Strongly disagree,Strongly agree,2020-05-11 08:51:27,8 Abortion is justified as a means of population control.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,"11 Abortion is the killing of a human being, which defies the word of God.",5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",14 Women should not be able to use abortion as a form of contraception.,16 Abortion eliminates the potential societal contributions of a future human being.,9 Abortion is murder because unborn babies are human beings with a right to life.,TAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Neither agree nor disagree,,33,Male,Somewhat agree,Somewhat agree,2020-05-11 08:52:59,8 Abortion is justified as a means of population control.,2 Reproductive choice empowers women by giving them control over their own bodies.,"11 Abortion is the killing of a human being, which defies the word of God.",9 Abortion is murder because unborn babies are human beings with a right to life.,14 Women should not be able to use abortion as a form of contraception.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",16 Abortion eliminates the potential societal contributions of a future human being.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",TAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,2 Reproductive choice empowers women by giving them control over their own bodies.,"11 Abortion is the killing of a human being, which defies the word of God.",5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,14 Women should not be able to use abortion as a form of contraception.,9 Abortion is murder because unborn babies are human beings with a right to life.,16 Abortion eliminates the potential societal contributions of a future human being.,12 Abortions reduce the number of adoptable babies.,,,,,,,,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,,20,Male,Somewhat agree,Somewhat agree,2020-05-08 09:01:23,,,,,,,,,LAM,True,True
,,,,,,,,8 Abortion is justified as a means of population control.,7 A baby should not come into the world unwanted.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,12 Abortions reduce the number of adoptable babies.,9 Abortion is murder because unborn babies are human beings with a right to life.,10 Fetuses feel pain during the abortion procedure.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat agree,,21,Male,Strongly agree,Neither agree nor disagree,2020-05-08 09:11:49,,,,,,,,,JST,True,True
8 Abortion is justified as a means of population control.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",12 Abortions reduce the number of adoptable babies.,"11 Abortion is the killing of a human being, which defies the word of God.",9 Abortion is murder because unborn babies are human beings with a right to life.,2 Reproductive choice empowers women by giving them control over their own bodies.,16 Abortion eliminates the potential societal contributions of a future human being.,7 A baby should not come into the world unwanted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,,33,Female,Strongly disagree,Strongly disagree,2020-05-08 09:12:27,,,,,,,,,LDA,True,True
,,,,,,,,,,,,,,,,1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,2 Reproductive choice empowers women by giving them control over their own bodies.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.","11 Abortion is the killing of a human being, which defies the word of God.",9 Abortion is murder because unborn babies are human beings with a right to life.,14 Women should not be able to use abortion as a form of contraception.,16 Abortion eliminates the potential societal contributions of a future human being.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",,,,,,,,,,,,,,,,,Strongly agree,Somewhat agree,Neither agree nor disagree,,21,Male,Strongly agree,Strongly agree,2020-05-08 09:14:05,,,,,,,,,VODUM,False,True
,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",9 Abortion is murder because unborn babies are human beings with a right to life.,12 Abortions reduce the number of adoptable babies.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",16 Abortion eliminates the potential societal contributions of a future human being.,14 Women should not be able to use abortion as a form of contraception.,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat disagree,,27,Female,Strongly agree,Neither agree nor disagree,2020-05-08 09:16:14,,,,,,,,,LAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,9 Abortion is murder because unborn babies are human beings with a right to life.,"11 Abortion is the killing of a human being, which defies the word of God.",5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,2 Reproductive choice empowers women by giving them control over their own bodies.,1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,16 Abortion eliminates the potential societal contributions of a future human being.,7 A baby should not come into the world unwanted.,Strongly disagree,Neither agree nor disagree,Strongly disagree,So confused!!,35,Female,Strongly agree,Somewhat agree,2020-05-08 09:16:15,,,,,,,,,TFIDF,True,True
,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",9 Abortion is murder because unborn babies are human beings with a right to life.,2 Reproductive choice empowers women by giving them control over their own bodies.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,7 A baby should not come into the world unwanted.,16 Abortion eliminates the potential societal contributions of a future human being.,14 Women should not be able to use abortion as a form of contraception.,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat agree,,70,Male,Strongly agree,Somewhat agree,2020-05-08 09:17:56,,,,,,,,,LAM,True,True
,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,9 Abortion is murder because unborn babies are human beings with a right to life.,"11 Abortion is the killing of a human being, which defies the word of God.",1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,14 Women should not be able to use abortion as a form of contraception.,13 Selective abortion based on genetic abnormalities (eugenic termination) is overt discrimination.,16 Abortion eliminates the potential societal contributions of a future human being.,10 Fetuses feel pain during the abortion procedure.,,,,,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,,39,Female,Strongly agree,Somewhat agree,2020-05-08 09:18:28,,,,,,,,,VODUM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.","11 Abortion is the killing of a human being, which defies the word of God.",12 Abortions reduce the number of adoptable babies.,13 Selective abortion based on genetic abnormalities (eugenic termination) is overt discrimination.,7 A baby should not come into the world unwanted.,16 Abortion eliminates the potential societal contributions of a future human being.,9 Abortion is murder because unborn babies are human beings with a right to life.,,,,,,,,,Neither agree nor disagree,Somewhat disagree,Strongly disagree,,20,Female,Strongly agree,Somewhat agree,2020-05-08 09:19:02,,,,,,,,,LAM,True,True
8 Abortion is justified as a means of population control.,10 Fetuses feel pain during the abortion procedure.,4 Fetuses are incapable of feeling pain when most abortions are performed.,13 Selective abortion based on genetic abnormalities (eugenic termination) is overt discrimination.,"11 Abortion is the killing of a human being, which defies the word of God.",5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,16 Abortion eliminates the potential societal contributions of a future human being.,14 Women should not be able to use abortion as a form of contraception.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,none,56,Male,Strongly agree,Somewhat agree,2020-05-08 09:19:12,,,,,,,,,LDA,True,True
,,,,,,,,8 Abortion is justified as a means of population control.,14 Women should not be able to use abortion as a form of contraception.,1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,12 Abortions reduce the number of adoptable babies.,4 Fetuses are incapable of feeling pain when most abortions are performed.,10 Fetuses feel pain during the abortion procedure.,9 Abortion is murder because unborn babies are human beings with a right to life.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Somewhat agree,Somewhat agree,,43,Male,Strongly agree,Somewhat agree,2020-05-08 09:20:25,,,,,,,,,JST,False,True
,,,,,,,,8 Abortion is justified as a means of population control.,14 Women should not be able to use abortion as a form of contraception.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",2 Reproductive choice empowers women by giving them control over their own bodies.,9 Abortion is murder because unborn babies are human beings with a right to life.,4 Fetuses are incapable of feeling pain when most abortions are performed.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,,24,Female,Strongly agree,Strongly agree,2020-05-08 09:21:52,,,,,,,,,JST,True,True
8 Abortion is justified as a means of population control.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",7 A baby should not come into the world unwanted.,"11 Abortion is the killing of a human being, which defies the word of God.",9 Abortion is murder because unborn babies are human beings with a right to life.,10 Fetuses feel pain during the abortion procedure.,16 Abortion eliminates the potential societal contributions of a future human being.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Neither agree nor disagree,,27,Female,Strongly agree,Neither agree nor disagree,2020-05-08 09:22:25,,,,,,,,,LDA,True,True
,,,,,,,,8 Abortion is justified as a means of population control.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,12 Abortions reduce the number of adoptable babies.,10 Fetuses feel pain during the abortion procedure.,9 Abortion is murder because unborn babies are human beings with a right to life.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,,28,Female,Strongly disagree,Strongly disagree,2020-05-08 09:23:30,,,,,,,,,JST,True,True
,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,13 Selective abortion based on genetic abnormalities (eugenic termination) is overt discrimination.,"11 Abortion is the killing of a human being, which defies the word of God.",9 Abortion is murder because unborn babies are human beings with a right to life.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",16 Abortion eliminates the potential societal contributions of a future human being.,14 Women should not be able to use abortion as a form of contraception.,,,,,,,,,Neither agree nor disagree,Strongly disagree,Strongly disagree,,61,Female,Strongly agree,Strongly agree,2020-05-08 09:23:44,,,,,,,,,LAM,True,True
,,,,,,,,8 Abortion is justified as a means of population control.,7 A baby should not come into the world unwanted.,2 Reproductive choice empowers women by giving them control over their own bodies.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",9 Abortion is murder because unborn babies are human beings with a right to life.,10 Fetuses feel pain during the abortion procedure.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Hope I did well! ,20,Male,Somewhat agree,Neither agree nor disagree,2020-05-08 09:24:06,,,,,,,,,JST,True,True
8 Abortion is justified as a means of population control.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",10 Fetuses feel pain during the abortion procedure.,"11 Abortion is the killing of a human being, which defies the word of God.",12 Abortions reduce the number of adoptable babies.,9 Abortion is murder because unborn babies are human beings with a right to life.,16 Abortion eliminates the potential societal contributions of a future human being.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Somewhat disagree,Strongly disagree,,30,Male,Strongly agree,Somewhat agree,2020-05-08 09:24:32,,,,,,,,,LDA,True,True
8 Abortion is justified as a means of population control.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,"11 Abortion is the killing of a human being, which defies the word of God.",9 Abortion is murder because unborn babies are human beings with a right to life.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",16 Abortion eliminates the potential societal contributions of a future human being.,14 Women should not be able to use abortion as a form of contraception.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat disagree,Somewhat agree,Neither agree nor disagree,,27,Female,Strongly agree,Somewhat agree,2020-05-08 09:24:32,,,,,,,,,LDA,True,True
,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,"11 Abortion is the killing of a human being, which defies the word of God.",6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,9 Abortion is murder because unborn babies are human beings with a right to life.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",16 Abortion eliminates the potential societal contributions of a future human being.,14 Women should not be able to use abortion as a form of contraception.,,,,,,,,,Somewhat agree,Strongly agree,Somewhat agree,,24,Male,Strongly agree,Neither agree nor disagree,2020-05-08 09:24:46,,,,,,,,,LAM,True,True
,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,9 Abortion is murder because unborn babies are human beings with a right to life.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",7 A baby should not come into the world unwanted.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,Strongly agree,Somewhat disagree,Somewhat disagree,Really found the word matching confusing,22,Female,Strongly agree,Somewhat agree,2020-05-08 09:25:11,,,,,,,,,VODUM,True,True
8 Abortion is justified as a means of population control.,4 Fetuses are incapable of feeling pain when most abortions are performed.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,"11 Abortion is the killing of a human being, which defies the word of God.",9 Abortion is murder because unborn babies are human beings with a right to life.,16 Abortion eliminates the potential societal contributions of a future human being.,2 Reproductive choice empowers women by giving them control over their own bodies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Strongly agree,,18,Male,Strongly agree,Strongly agree,2020-05-08 09:25:15,,,,,,,,,LDA,True,True
,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,9 Abortion is murder because unborn babies are human beings with a right to life.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",2 Reproductive choice empowers women by giving them control over their own bodies.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",7 A baby should not come into the world unwanted.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat agree,,31,Male,Strongly agree,Somewhat agree,2020-05-08 09:25:36,,,,,,,,,VODUM,True,True
,,,,,,,,8 Abortion is justified as a means of population control.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,14 Women should not be able to use abortion as a form of contraception.,12 Abortions reduce the number of adoptable babies.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",9 Abortion is murder because unborn babies are human beings with a right to life.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Strongly agree,Somewhat agree,,26,Female,Strongly agree,Neither agree nor disagree,2020-05-08 09:25:43,,,,,,,,,JST,True,True
,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.","11 Abortion is the killing of a human being, which defies the word of God.",12 Abortions reduce the number of adoptable babies.,13 Selective abortion based on genetic abnormalities (eugenic termination) is overt discrimination.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",16 Abortion eliminates the potential societal contributions of a future human being.,14 Women should not be able to use abortion as a form of contraception.,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat agree,,47,Male,Strongly agree,Somewhat agree,2020-05-08 09:26:22,,,,,,,,,LAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,2 Reproductive choice empowers women by giving them control over their own bodies.,"11 Abortion is the killing of a human being, which defies the word of God.",12 Abortions reduce the number of adoptable babies.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",16 Abortion eliminates the potential societal contributions of a future human being.,14 Women should not be able to use abortion as a form of contraception.,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,,42,Male,Strongly agree,Somewhat agree,2020-05-08 09:26:40,,,,,,,,,LAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.","11 Abortion is the killing of a human being, which defies the word of God.",2 Reproductive choice empowers women by giving them control over their own bodies.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,9 Abortion is murder because unborn babies are human beings with a right to life.,16 Abortion eliminates the potential societal contributions of a future human being.,14 Women should not be able to use abortion as a form of contraception.,,,,,,,,,Somewhat agree,Strongly disagree,Strongly disagree,,29,Male,Strongly agree,Somewhat agree,2020-05-08 09:26:44,,,,,,,,,LAM,True,True
,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,7 A baby should not come into the world unwanted.,9 Abortion is murder because unborn babies are human beings with a right to life.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,Neither agree nor disagree,Somewhat agree,Somewhat disagree,,20,Female,Strongly agree,Somewhat agree,2020-05-08 09:27:14,,,,,,,,,VODUM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,7 A baby should not come into the world unwanted.,14 Women should not be able to use abortion as a form of contraception.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.","11 Abortion is the killing of a human being, which defies the word of God.",6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,16 Abortion eliminates the potential societal contributions of a future human being.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",Strongly agree,Somewhat disagree,Strongly disagree,,29,Female,Strongly agree,Somewhat agree,2020-05-08 09:27:21,,,,,,,,,TFIDF,True,True
,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,9 Abortion is murder because unborn babies are human beings with a right to life.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",7 A baby should not come into the world unwanted.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,Strongly agree,Somewhat agree,Somewhat disagree,,25,Female,Strongly agree,Strongly agree,2020-05-08 09:27:29,,,,,,,,,VODUM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,9 Abortion is murder because unborn babies are human beings with a right to life.,"11 Abortion is the killing of a human being, which defies the word of God.",14 Women should not be able to use abortion as a form of contraception.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,16 Abortion eliminates the potential societal contributions of a future human being.,2 Reproductive choice empowers women by giving them control over their own bodies.,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat confusing!,64,Male,Strongly agree,Somewhat agree,2020-05-08 09:27:41,,,,,,,,,TFIDF,True,True
,,,,,,,,8 Abortion is justified as a means of population control.,9 Abortion is murder because unborn babies are human beings with a right to life.,12 Abortions reduce the number of adoptable babies.,7 A baby should not come into the world unwanted.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,10 Fetuses feel pain during the abortion procedure.,13 Selective abortion based on genetic abnormalities (eugenic termination) is overt discrimination.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Somewhat agree,Somewhat agree,,18,Female,Strongly agree,Somewhat agree,2020-05-08 09:28:17,,,,,,,,,JST,False,True
8 Abortion is justified as a means of population control.,10 Fetuses feel pain during the abortion procedure.,7 A baby should not come into the world unwanted.,12 Abortions reduce the number of adoptable babies.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,"11 Abortion is the killing of a human being, which defies the word of God.","15 If women become pregnant, they should accept the responsibility that comes with producing a child.",9 Abortion is murder because unborn babies are human beings with a right to life.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat agree,,74,Female,Somewhat disagree,Strongly agree,2020-05-08 09:28:25,,,,,,,,,LDA,False,True
,,,,,,,,8 Abortion is justified as a means of population control.,7 A baby should not come into the world unwanted.,2 Reproductive choice empowers women by giving them control over their own bodies.,12 Abortions reduce the number of adoptable babies.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",9 Abortion is murder because unborn babies are human beings with a right to life.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neither agree nor disagree,Somewhat disagree,,55,Female,Strongly agree,Strongly agree,2020-05-08 09:28:52,,,,,,,,,JST,True,True
,,,,,,,,8 Abortion is justified as a means of population control.,7 A baby should not come into the world unwanted.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",12 Abortions reduce the number of adoptable babies.,9 Abortion is murder because unborn babies are human beings with a right to life.,10 Fetuses feel pain during the abortion procedure.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,,,,,,,,,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,,22,Female,Strongly agree,Strongly agree,2020-05-08 09:29:00,,,,,,,,,JST,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,14 Women should not be able to use abortion as a form of contraception.,13 Selective abortion based on genetic abnormalities (eugenic termination) is overt discrimination.,16 Abortion eliminates the potential societal contributions of a future human being.,9 Abortion is murder because unborn babies are human beings with a right to life.,2 Reproductive choice empowers women by giving them control over their own bodies.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",7 A baby should not come into the world unwanted.,Neither agree nor disagree,Somewhat disagree,Strongly disagree,,34,Female,Neither agree nor disagree,Somewhat disagree,2020-05-08 09:29:01,,,,,,,,,TFIDF,False,True
,,,,,,,,8 Abortion is justified as a means of population control.,7 A baby should not come into the world unwanted.,2 Reproductive choice empowers women by giving them control over their own bodies.,9 Abortion is murder because unborn babies are human beings with a right to life.,14 Women should not be able to use abortion as a form of contraception.,10 Fetuses feel pain during the abortion procedure.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,,,,,,,,,Somewhat disagree,Somewhat disagree,Somewhat disagree,,25,Male,Somewhat agree,Somewhat agree,2020-05-08 09:29:04,,,,,,,,,JST,True,True
,,,,,,,,8 Abortion is justified as a means of population control.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,12 Abortions reduce the number of adoptable babies.,4 Fetuses are incapable of feeling pain when most abortions are performed.,9 Abortion is murder because unborn babies are human beings with a right to life.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Neither agree nor disagree,,18,Female,Somewhat agree,Somewhat agree,2020-05-08 09:29:24,,,,,,,,,JST,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,12 Abortions reduce the number of adoptable babies.,9 Abortion is murder because unborn babies are human beings with a right to life.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,"11 Abortion is the killing of a human being, which defies the word of God.","3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",16 Abortion eliminates the potential societal contributions of a future human being.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,Somewhat agree,Neither agree nor disagree,Strongly disagree,,30,Female,Strongly agree,Strongly agree,2020-05-08 09:29:40,,,,,,,,,TFIDF,True,True
,,,,,,,,8 Abortion is justified as a means of population control.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,2 Reproductive choice empowers women by giving them control over their own bodies.,12 Abortions reduce the number of adoptable babies.,7 A baby should not come into the world unwanted.,"11 Abortion is the killing of a human being, which defies the word of God.",16 Abortion eliminates the potential societal contributions of a future human being.,9 Abortion is murder because unborn babies are human beings with a right to life.,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,A GOOD TOPIC AND AWESOME SURVEY.,26,Female,Neither agree nor disagree,Somewhat agree,2020-05-08 09:29:48,,,,,,,,,JST,True,True
,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.","11 Abortion is the killing of a human being, which defies the word of God.",12 Abortions reduce the number of adoptable babies.,13 Selective abortion based on genetic abnormalities (eugenic termination) is overt discrimination.,9 Abortion is murder because unborn babies are human beings with a right to life.,16 Abortion eliminates the potential societal contributions of a future human being.,14 Women should not be able to use abortion as a form of contraception.,,,,,,,,,Somewhat agree,Strongly agree,Somewhat agree,,26,Male,Strongly agree,Somewhat agree,2020-05-08 09:29:49,,,,,,,,,LAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",9 Abortion is murder because unborn babies are human beings with a right to life.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",2 Reproductive choice empowers women by giving them control over their own bodies.,"11 Abortion is the killing of a human being, which defies the word of God.",16 Abortion eliminates the potential societal contributions of a future human being.,14 Women should not be able to use abortion as a form of contraception.,Somewhat agree,Somewhat agree,Strongly disagree,,49,Female,Strongly agree,Somewhat agree,2020-05-08 09:29:58,,,,,,,,,TFIDF,True,True
